C.D.S.  -  SIMBAD4 rel 1.223  -  2014.06.10CEST20:53:45

coord 350.678700 34.590420, radius: 12 arcmin
---------------------------------------------

Number of objects : 14

# ;dist(asec);       identifier        ;  coord1 (FK5,J2000/2000)  
--;----------;-------------------------;---------------------------
1 ;     50.40;TYC 2760-1797-1          ;350.684734 +34.577330      
2 ;     50.47;2MASX J23224401+3436140  ;350.683379 +34.603900      
3 ;    163.28;TYC 2760-742-1           ;350.682554 +34.635664      
4 ;    168.35;IRAS 23203+3421          ;350.6871 +34.6367          
5 ;    293.46;TYC 2760-1155-1          ;350.601775 +34.539115      
6 ;    486.39;TYC 2760-506-1           ;350.685392 +34.725417      
7 ;    494.71;TYC 2760-959-1           ;350.531821 +34.655803      
8 ;    556.53;TYC 2760-1549-1          ;350.706476 +34.743316      
9 ;    597.29;IRAS 23206+3427          ;350.7827 +34.7326          
10;    611.23;BD+33 4695               ;350.487102 +34.653409      
11;    614.84;TYC 2760-1746-1          ;350.815963 +34.718558      
12;    621.36;1RXS J232156.2+343918    ;350.484192 +34.655000      
13;    643.21;TYC 2760-1161-1          ;350.532946 +34.458122      
14;    694.92;TYC 2760-1388-1          ;350.838054 +34.732131      
================================================================================

C.D.S.  -  SIMBAD4 rel 1.223  -  2014.06.10CEST20:53:45

coord 138.296500 -21.059710, radius: 12 arcmin
----------------------------------------------

Number of objects : 14

# ;dist(asec);       identifier        ;  coord1 (FK5,J2000/2000)  
--;----------;-------------------------;---------------------------
1 ;    154.03;2FGL J0912.9-2102        ;138.250854 -21.055697      
2 ;    293.45;TYC 6040-1510-1          ;138.240858 -20.996885      
3 ;    302.98;TYC 6040-2074-1          ;138.224483 -21.110386      
4 ;    306.76;TYC 6040-1498-1          ;138.287254 -21.144483      
5 ;    332.55;RX J0912.9-2103          ;138.199579 -21.040969      
6 ;    405.35;BD-20 2823               ;138.405715 -21.011889      
7 ;    437.83;TYC 6040-1992-1          ;138.175229 -21.104294      
8 ;    458.50;ESO 564-29               ;138.290633 -20.932467      
9 ;    512.53;2MASX J09124528-2057325  ;138.188675 -20.959028      
10;    513.61;CPD-20 4324              ;138.362500 -20.931033      
11;    614.10;PMN J0913-2113           ;138.36833 -21.21658        
12;    621.57;TYC 6040-1681-1          ;138.376008 -20.903825      
13;    662.12;1RXS J091344.1-205540    ;138.433758 -20.927781      
14;    674.00;BD-20 2821               ;138.238987 -20.880356      
================================================================================

C.D.S.  -  SIMBAD4 rel 1.223  -  2014.06.10CEST20:53:45

coord 85.972430 -55.502020, radius: 12 arcmin
---------------------------------------------

Number of objects : 16

# ;dist(asec);       identifier        ;  coord1 (FK5,J2000/2000)  
--;----------;-------------------------;---------------------------
1 ;    122.64;ACT-S J054357-553206     ;085.9875 -55.5350          
2 ;    125.23;2FGL J0543.9-5532        ;085.9887 -55.5356          
3 ;    220.98;NGC 2087                 ;086.066675 -55.532364      
4 ;    327.93;TYC 8523-51-1            ;085.905208 -55.584792      
5 ;    460.51;TYC 8523-238-1           ;086.085787 -55.391431      
6 ;    465.71;TYC 8523-3-1             ;085.791479 -55.581092      
7 ;    474.99;TYC 8523-63-1            ;086.014092 -55.631842      
8 ;    531.90;TYC 8523-344-1           ;085.714000 -55.482125      
9 ;    624.52;TYC 8523-184-1           ;085.846708 -55.343894      
10;    654.62;ESO 159-27               ;086.124975 -55.662117      
11;    672.25;TYC 8523-276-1           ;085.708553 -55.390349      
12;    692.09;1RXS J054340.0-554130    ;085.916671 -55.691669      
13;    707.25;ESO 159-24               ;085.644433 -55.438539      
14;    717.12;IRAS F05432-5542         ;086.0500 -55.6963          
15;    717.30;HD 38683                 ;086.056745 -55.695491      
16;    718.14;1RXS J054412.7-554146    ;086.052921 -55.696250      
================================================================================

C.D.S.  -  SIMBAD4 rel 1.223  -  2014.06.10CEST20:53:45

coord 32.455320 -52.515270, radius: 12 arcmin
---------------------------------------------

Number of objects : 8

#;dist(asec);       identifier        ;  coord1 (FK5,J2000/2000)  
-;----------;-------------------------;---------------------------
1;    269.20;2FGL J0209.5-5229        ;032.33983 -52.48978        
2;    283.36;ACT-S J020920-522921     ;032.3333 -52.4892          
3;    324.37;6dFGS gJ021024.2-522955  ;032.600792 -52.498578      
4;    429.34;CD-53 422                ;032.643598 -52.548519      
5;    434.67;TYC 8048-651-1           ;032.544225 -52.407361      
6;    520.68;CD-53 415                ;032.318810 -52.633745      
7;    544.89;TYC 8048-836-1           ;032.678812 -52.449061      
8;    698.70;TYC 8483-88-1            ;032.691392 -52.646003      
================================================================================

C.D.S.  -  SIMBAD4 rel 1.223  -  2014.06.10CEST20:53:45

coord 306.384500 76.780020, radius: 12 arcmin
---------------------------------------------

Number of objects : 22

# ;dist(asec);       identifier        ;  coord1 (FK5,J2000/2000)  
--;----------;-------------------------;---------------------------
1 ;     79.01;TYC 4585-405-1           ;306.416383 +76.759322      
2 ;    250.48;1RXS J202633.4+764432    ;306.6396 +76.7422          
3 ;    318.90;1RXS J202559.1+765153    ;306.496250 +76.864861      
4 ;    382.42;BD+76 800                ;306.194538 +76.683151      
5 ;    408.94;NAME Fr 2-14             ;306.4167 +76.6667          
6 ;    413.90;NLTT 49347               ;306.58750 +76.67492        
7 ;    437.41;G 261-26                 ;306.575 +76.667            
8 ;    491.67;SDSS J202735.19+765102.8 ;306.896654 +76.850778      
9 ;    505.47;TYC 4585-109-1           ;305.908325 +76.869094      
10;    513.32;HD 195526                ;306.122536 +76.650760      
11;    521.05;TYC 4585-1539-1          ;306.985804 +76.825883      
12;    527.86;SDSS J202535.65+765535.8 ;306.398575 +76.926614      
13;    605.42;TYC 4589-2586-1          ;306.279402 +76.946488      
14;    607.78;TYC 4585-671-1           ;307.099974 +76.822634      
15;    614.31;1RXS J202831.1+764725    ;307.129579 +76.790411      
16;    624.53;HD 196214                ;307.129017 +76.814380      
17;    641.67;SDSS J202739.33+765440.9 ;306.913908 +76.911378      
18;    650.00;SDSS J202458.09+763608.8 ;306.242037 +76.602467      
19;    653.78;TYC 4585-235-1           ;305.601371 +76.811342      
20;    671.76;2MFGC 15526              ;306.825958 +76.623467      
21;    702.91;LHS 3545                 ;305.941304 +76.613517      
22;    714.39;TYC 4589-2469-1          ;306.761133 +76.959069      
================================================================================

C.D.S.  -  SIMBAD4 rel 1.223  -  2014.06.10CEST20:53:45

coord 170.118700 42.263760, radius: 12 arcmin
---------------------------------------------

Number of objects : 19

# ;dist(asec);       identifier        ;  coord1 (FK5,J2000/2000)  
--;----------;-------------------------;---------------------------
